,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
82,23,2,3,2018-09-04T14:31:13Z,69,0,0,39155.jpg,2.0,0,Lallana,46,Lallana,1,Adam Lallana,77,Liverpool,30,2115,4,6,3.53,5.65,0.15,0.24,Unfilled
83,204,5,3,2018-10-15T22:01:16Z,98,0,0,110979.jpg,6.5,0,Mané,366,Mané,1,Sadio Mané,16,Southampton,37,2614,11,6,12.51,5.14,0.43,0.18,Unfilled
84,138,5,3,2018-07-29T09:01:10Z,55,0,0,41733.jpg,3.3,0,Wijnaldum,158,Wijnaldum,1,Georginio Wijnaldum,15,Newcastle United,38,3178,11,5,7.93,3.82,0.22,0.11,Unfilled
85,192,4,3,2018-10-20T15:31:16Z,56,0,0,15157.jpg,3.9,0,Milner,114,Milner,2,James Milner,53,Liverpool,28,2428,5,11,3.4,5.39,0.13,0.2,Unfilled
86,143,8,4,2018-09-15T14:31:15Z,92,0,0,92217.jpg,3.5,0,Firmino,306,Firmino,0,Roberto Firmino,19,Liverpool,31,2005,10,7,7.13,5.4,0.32,0.24,Unfilled
87,80,1,3,,70,0,0,68312.jpg,3.7,0,Shaqiri,83,Shaqiri,0,Xherdan Shaqiri,118,Stoke,27,2072,3,6,3.07,6.42,0.13,0.28,Unfilled
88,68,1,4,,58,0,0,40755.jpg,2.4,0,Sturridge,101,Sturridge,1,Daniel Sturridge,27,Liverpool,14,981,8,1,5.74,0.52,0.53,0.05,Unfilled
89,0,0,4,2018-10-20T18:31:17Z,50,0,0,152760.jpg,0.0,0,Origi,0,Origi,0,Divock Origi,52,Liverpool,16,660,5,1,3.35,0.5,0.46,0.07,Unfilled
90,140,3,3,2018-07-29T08:31:08Z,87,0,1,103025.jpg,4.1,0,Mahrez,298,Mahrez,0,Riyad Mahrez,5,Leicester,37,3087,17,11,11.88,11.45,0.35,0.33,Unfilled
91,167,4,2,,53,0,0,97299.jpg,4.5,0,Stones,14,Stones,0,John Stones,322,Everton,33,2781,0,0,0.42,2.04,0.01,0.07,Unfilled
92,64,1,2,,52,0,0,17476.jpg,1.8,0,Kompany,8,Kompany,2,Vincent Kompany,139,Manchester City,14,1179,2,0,0.42,0.08,0.03,0.01,Unfilled
93,84,3,2,2018-11-02T14:31:13Z,61,0,0,57410.jpg,6.0,0,Otamendi,46,Otamendi,0,Nicolás Otamendi,204,Manchester City,30,2673,1,0,0.99,0.63,0.03,0.02,Unfilled
94,211,6,2,2018-10-21T16:31:17Z,65,0,0,58621.jpg,5.8,0,Walker,52,Walker,0,Kyle Walker,207,Tottenham,33,2947,1,3,0.88,4.27,0.03,0.13,Unfilled
95,66,2,2,2018-10-01T08:31:14Z,53,0,0,41823.jpg,5.0,0,Delph,0,Delph,0,Fabian Delph,172,Manchester City,17,753,2,0,0.3,0.43,0.04,0.05,Unfilled
96,244,6,3,2018-09-03T18:31:13Z,111,0,0,103955.jpg,8.6,0,Sterling,499,Sterling,1,Raheem Sterling,44,Manchester City,31,1943,6,2,7.15,3.25,0.33,0.15,Unfilled
97,8,0,3,2018-11-01T23:01:15Z,97,0,0,61366.jpg,0.7,0,De Bruyne,15,De Bruyne,1,Kevin De Bruyne,33,Manchester City,25,2006,7,9,4.31,8.33,0.19,0.37,Unfilled
98,276,6,4,2018-09-15T17:01:14Z,114,0,0,37572.jpg,6.6,0,Agüero,696,Agüero,2,Sergio Agüero,2,Manchester City,30,2399,24,2,20.08,2.03,0.75,0.08,Unfilled
99,0,0,1,2018-09-25T23:31:13Z,50,0,0,42899.jpg,0.0,0,Romero,0,Romero,0,Sergio Romero,306,Manchester United,4,360,0,0,0.0,0.0,0.0,0.0,Unfilled
100,132,1,2,2018-07-29T08:31:08Z,58,0,0,55909.jpg,2.9,0,Smalling,81,Smalling,1,Chris Smalling,338,Manchester United,35,3150,0,1,1.59,0.64,0.05,0.02,Unfilled
101,0,0,2,2018-10-28T15:01:14Z,49,0,0,58893.jpg,0.0,0,Rojo,0,Rojo,0,Marcos Rojo,304,Manchester United,16,1264,0,1,0.3,0.8,0.02,0.06,Unfilled
102,69,1,2,2018-10-24T09:01:16Z,64,0,0,20695.jpg,2.5,0,Valencia,3,Valencia,2,Antonio Valencia,337,Manchester United,14,847,0,3,0.19,0.56,0.02,0.06,Unfilled
103,16,0,2,,46,0,0,40002.jpg,2.0,0,Darmian,7,Darmian,0,Matteo Darmian,196,Manchester United,28,1937,1,0,0.18,1.88,0.01,0.09,Unfilled
104,0,0,2,2018-07-18T10:05:48Z,50,0,0,58877.jpg,0.0,0,Blind,0,Blind,0,Daley Blind,194,Manchester United,35,3123,1,1,0.15,1.88,0.0,0.05,Unfilled
105,101,0,2,2018-10-06T15:31:14Z,57,0,0,18892.jpg,1.9,0,Young,11,Young,3,Ashley Young,206,Manchester United,18,1053,1,2,0.89,1.46,0.08,0.12,Unfilled
106,98,1,3,2018-10-28T15:01:14Z,100,0,0,37265.jpg,3.4,0,Sánchez,219,Sánchez,2,Alexis Sánchez,9,Arsenal,30,2463,13,4,13.1,8.55,0.48,0.31,Unfilled
107,93,1,3,2018-10-20T11:31:16Z,50,0,0,62398.jpg,1.5,1,Matic,58,Matic,2,Nemanja Matic,150,Chelsea,33,2426,2,2,2.51,2.06,0.09,0.08,Unfilled
108,81,1,3,,62,0,0,43670.jpg,2.8,0,Mata,67,Mata,1,Juan Mata,43,Manchester United,38,2907,6,5,6.46,5.28,0.2,0.16,Unfilled
109,89,1,3,2018-10-19T14:01:16Z,49,0,0,41184.jpg,2.4,0,Fellaini,109,Fellaini,0,Marouane Fellaini,205,Manchester United,18,1069,1,0,4.18,0.64,0.35,0.05,Unfilled
110,16,0,3,2018-10-20T11:31:16Z,50,0,0,59846.jpg,0.8,0,Herrera,57,Herrera,1,Ander Herrera,101,Manchester United,27,1535,3,2,2.77,2.14,0.16,0.13,Unfilled
111,46,1,3,2018-10-28T15:01:14Z,67,0,0,109322.jpg,1.7,0,Lingard,122,Lingard,0,Jesse Lingard,81,Manchester United,25,1641,4,1,3.29,1.29,0.18,0.07,Unfilled
112,152,0,3,,75,0,0,148225.jpg,6.4,0,Martial,230,Martial,1,Anthony Martial,13,Manchester United,31,2632,11,4,7.27,6.17,0.25,0.21,Unfilled
113,65,2,4,2018-10-20T16:31:16Z,67,0,0,176297.jpg,2.5,1,Rashford,133,Rashford,1,Marcus Rashford,61,Manchester United,11,870,5,2,3.03,0.76,0.31,0.08,Unfilled
114,110,1,4,2018-11-03T13:01:14Z,108,0,0,66749.jpg,3.8,0,Lukaku,375,Lukaku,1,Romelu Lukaku,4,Everton,37,3194,18,6,20.06,5.68,0.57,0.16,Unfilled
115,164,3,2,2018-11-03T17:31:13Z,48,0,0,101148.jpg,3.1,0,Lascelles,60,Lascelles,0,Jamaal Lascelles,162,Newcastle United,18,1135,2,0,0.42,0.15,0.03,0.01,Unfilled
116,158,4,2,2018-10-20T13:01:17Z,44,0,0,106618.jpg,3.3,0,Dummett,4,Dummett,0,Paul Dummett,249,Newcastle United,23,1907,1,0,0.27,0.16,0.01,0.01,Unfilled
117,86,4,3,2018-08-28T13:31:12Z,58,0,0,56983.jpg,2.4,0,Ritchie,166,Ritchie,3,Matt Ritchie,76,Bournemouth,37,2985,4,6,4.23,3.58,0.13,0.11,Unfilled
118,0,0,4,2018-08-07T09:52:46Z,60,0,0,104547.jpg,0.0,0,Gayle,0,Gayle,0,Dwight Gayle,107,Crystal Palace,16,755,3,0,3.89,0.71,0.46,0.09,Unfilled
119,84,3,4,,61,0,0,168580.jpg,2.7,0,Pérez,194,Pérez,0,Ayoze Pérez,48,Newcastle United,34,2046,6,2,3.8,2.89,0.17,0.13,Unfilled
120,22,2,4,2018-09-23T00:01:15Z,57,0,0,57134.jpg,2.0,0,Rondón,60,Rondón,0,Salomón Rondón,26,West Bromwich Albion,34,2581,9,2,9.9,1.92,0.35,0.07,Unfilled
121,153,3,2,2018-10-06T15:31:14Z,44,0,0,57145.jpg,3.6,0,Fernández,44,Fernández,1,Federico Fernández,221,Swansea,32,2880,1,1,1.67,0.39,0.05,0.01,Unfilled
122,136,3,4,2018-09-15T16:31:14Z,55,0,0,84939.jpg,3.8,0,Ings,487,Ings,1,Danny Ings,177,Liverpool,6,336,2,0,1.85,0.35,0.5,0.09,Unfilled
123,160,4,2,,49,0,0,40146.jpg,2.9,0,Bertrand,82,Bertrand,4,Ryan Bertrand,244,Southampton,32,2880,1,3,1.47,3.44,0.05,0.11,Unfilled
124,17,0,2,,42,0,0,80447.jpg,1.0,0,Yoshida,0,Yoshida,0,Maya Yoshida,247,Southampton,20,1000,1,0,1.05,0.0,0.09,0.0,Unfilled
125,3,0,3,,47,0,0,17339.jpg,1.0,0,Davis,0,Davis,0,Steven Davis,73,Southampton,34,2637,5,3,2.53,4.08,0.09,0.14,Unfilled
126,29,0,3,,51,0,0,101178.jpg,1.3,0,Ward-Prowse,28,Ward-Prowse,1,James Ward-Prowse,169,Southampton,33,1505,2,4,2.07,4.69,0.12,0.28,Unfilled
127,29,1,4,2018-10-15T15:31:15Z,48,0,0,20452.jpg,1.6,0,Long,155,Long,0,Shane Long,21,Southampton,28,2114,10,4,10.62,2.71,0.45,0.12,Unfilled
128,12,4,4,2018-10-27T17:01:14Z,55,0,1,78356.jpg,1.3,0,Austin,128,Austin,0,Charlie Austin,248,Southampton,7,203,1,0,1.19,0.03,0.53,0.01,Unfilled
129,205,4,2,,59,0,0,55605.jpg,3.3,0,Alderweireld,59,Alderweireld,1,Toby Alderweireld,85,Tottenham,38,3420,4,2,3.03,0.82,0.08,0.02,Unfilled
130,100,3,2,2018-10-06T17:01:15Z,59,0,0,38290.jpg,4.7,0,Rose,44,Rose,2,Danny Rose,208,Tottenham,24,2139,1,3,1.22,3.3,0.05,0.14,Unfilled
131,254,4,2,2018-08-27T22:01:13Z,63,0,0,77794.jpg,5.8,0,Trippier,53,Trippier,1,Kieran Trippier,210,Tottenham,6,456,1,1,0.42,0.48,0.08,0.09,Unfilled
132,134,4,3,2018-10-31T13:31:14Z,48,0,0,93264.jpg,2.9,0,Dier,45,Dier,1,Eric Dier,104,Tottenham,37,3271,3,2,1.65,1.38,0.05,0.04,Unfilled
133,74,1,3,2018-11-03T22:01:14Z,49,0,0,39104.jpg,1.4,0,Dembélé,1,Dembélé,1,Mousa Dembélé,103,Tottenham,29,2286,3,1,1.48,0.83,0.06,0.03,Unfilled
134,116,1,3,2018-08-27T23:31:13Z,64,0,0,62974.jpg,5.4,0,Lamela,228,Lamela,0,Erik Lamela,64,Tottenham,34,2404,5,9,6.3,8.93,0.24,0.33,Unfilled
135,102,1,3,2018-09-27T12:31:15Z,92,0,0,80607.jpg,2.4,0,Eriksen,129,Eriksen,0,Christian Eriksen,45,Tottenham,35,2950,6,13,5.51,9.81,0.17,0.3,Unfilled
