,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
34,58,1,2,45,0,0,0,3.7,0,0,0.4,11,0,Shane Duffy,335,Brighton,3,270,0,0,0.06,0.12,0.02,0.04,Defender,0.36,0.36,0.72,0.12,0.12,0.24,0.05333333333333333
36,18,1,3,59,0,0,0,1.7,0,0,1.3,5,0,Anthony Knockaert,312,Brighton,3,122,0,0,0.17,0.04,0.13,0.03,Midfielder,0.12,0.8500000000000001,0.9700000000000001,0.09,0.65,0.74,0.12542372881355932
37,27,1,3,45,0,0,0,2.3,0,0,0.6,7,0,Dale Stephens,339,Brighton,3,270,0,0,0.0,0.06,0.0,0.02,Midfielder,0.18,0.0,0.18,0.06,0.0,0.06,0.013333333333333332
38,22,0,3,50,0,0,0,1.7,0,0,0.1,5,0,Jamie Murphy,340,Brighton,3,158,0,0,0.06,0.01,0.03,0.01,Midfielder,0.03,0.3,0.32999999999999996,0.03,0.15,0.18,0.036
39,18,1,3,54,0,0,0,2.3,0,0,0.5,7,0,Pascal Groß,56,Brighton,3,244,0,0,0.07,0.19,0.02,0.07,Midfielder,0.5700000000000001,0.35000000000000003,0.9200000000000002,0.21000000000000002,0.1,0.31000000000000005,0.057407407407407414
40,2,0,4,58,0,0,0,1.5,0,0,0.3,3,0,Glenn Murray,233,Brighton,2,95,0,0,0.0,0.06,0.0,0.06,Forward,0.18,0.0,0.18,0.18,0.0,0.18,0.03103448275862069
41,3,1,4,49,0,0,0,1.3,0,0,0.2,4,0,Tomer Hemed,305,Brighton,3,175,0,0,0.25,0.0,0.13,0.0,Forward,0.0,1.0,1.0,0.0,0.52,0.52,0.10612244897959183
42,44,0,1,50,0,0,0,2.3,0,8,7.6,7,0,Tom Heaton,255,Burnley,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,47,0,2,45,0,0,0,2.7,0,0,1.1,8,0,Matthew Lowton,256,Burnley,3,270,0,1,0.01,0.07,0.0,0.02,Defender,0.21000000000000002,0.06,0.27,0.06,0.0,0.06,0.013333333333333332
44,39,0,2,45,0,0,0,1.3,0,0,8.4,4,1,Ben Mee,258,Burnley,3,270,0,0,0.67,0.07,0.22,0.02,Defender,0.21000000000000002,4.0200000000000005,4.23,0.06,1.32,1.3800000000000001,0.3066666666666667
45,48,0,2,45,0,0,0,3.7,0,0,4.3,11,0,Stephen Ward,39,Burnley,3,270,1,0,0.12,0.14,0.04,0.05,Defender,0.42000000000000004,0.72,1.1400000000000001,0.15000000000000002,0.24,0.39,0.08666666666666667
46,46,0,2,45,0,0,0,1.7,0,0,0.1,5,0,James Tarkowski,263,Burnley,3,270,0,0,0.19,0.0,0.06,0.0,Defender,0.0,1.1400000000000001,1.1400000000000001,0.0,0.36,0.36,0.08
47,14,0,3,49,0,0,0,1.0,0,0,0.1,2,1,Scott Arfield,260,Burnley,2,102,0,0,0.04,0.02,0.04,0.02,Midfielder,0.06,0.2,0.26,0.06,0.2,0.26,0.053061224489795916
48,22,0,3,50,0,0,0,1.7,0,0,0.1,5,0,Johann Berg Gudmundsson,262,Burnley,3,216,0,0,0.1,0.09,0.04,0.04,Midfielder,0.27,0.5,0.77,0.12,0.2,0.32,0.064
